Voltaje,Corriente
3.98,0.4
3.56,0.4
3.05,0.3
2.45,0.3
2.05,0.2
1.51,0.15
0.98,0.1
0.47,0.1
0,0.05
-0.25,0
-0.6,-0.05
-0.8,-0.05
-1,-0.1
-1.24,-0.1
-1.44,-0.1
-2,-0.15
-2.55,-0.2
-3.02,-0.25
-3.5,-0.3
-4,-0.3
