Voltaje,Corriente
4.07,0.4
3.56,0.4
3,0.3
2.49,0.3
1.98,0.2
1.51,0.2
1.05,0.15
0.46,0.1
0,0.05
-0.49,0
-0.96,-0.05
-1.5,-0.1
-2.02,-0.15
-2.57,-0.2
-3.08,-0.25
-3.43,-0.3
-4,-0.3
-4.43,-0.35
-5,-0.4
