Voltaje,Corriente
5,0.4
4.5,0.4
4.03,0.4
3.55,0.35
3.02,0.3
2.46,0.25
2.02,0.2
1.5,0.15
1.06,0.1
0.48,0.05
0,0.05
-0.53,0
-1.01,-0.05
-1.54,-0.1
-2.01,-0.15
-2.58,-0.2
-3,-0.2
-3.46,-0.3
-4.08,-0.3
