Voltaje,Corriente
4.96,1
4.5,0.9
3.98,0.9
3.49,0.8
3,0.75
2.47,0.7
2.03,0.6
1.52,0.5
1,0.4
0.53,0.3
0,0.1
-0.29,0
-0.52,-0.05
-1,-0.1
-1.46,-0.1
-2.03,-0.15
-2.49,-0.2
-2.97,-0.25
-3.56,-0.3
-3.98,-0.35
-4.51,-0.35
-4.97,-0.4
