Longitud de onda,Corriente
300,3
310,3
320,3
330,3
340,3
350,3.1
360,3.5
370,4
380,3.1
390,3.1
400,3.6
410,3.6
420,3.2
430,4.3
440,7.1
450,3.2
460,3.2
470,3.1
480,3.1
490,3.2
500,3.1
510,3.1
520,3.1
530,3.1
540,4.3
550,10
560,3.2
570,3.4
580,6.2
590,3.2
600,3.1
610,3
620,3
630,3
640,3
650,3
660,3
670,3
680,3
690,3
700,3
710,3
720,3
730,3.4
740,3.1
750,3
760,3
770,3
780,3
790,3
800,3
