element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,1,"=""""","=""166752.8""","=""""","=""2.06e-01""",C+,"=""12.7590123""","=""12.7664475""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""166752.8""","=""""","=""5.23e+00""",C+,"=""12.7590123""","=""12.7664475""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""166752.8""","=""""","=""4.69e+01""",C+,"=""12.7590123""","=""12.7664475""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""3F""","=""4""",,"=""T5713LS""","=""""",
O,1,"=""""","=""166944.9""","=""""","=""7.29e+00""",C+,"=""12.7590208""","=""12.7664475""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",,"=""T5713LS""","=""""",
O,1,"=""""","=""166944.9""","=""""","=""4.15e+01""",C+,"=""12.7590208""","=""12.7664475""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""2""","=""2s2.2p3.(4S*).4f""","=""3F""","=""3""",,"=""T5713LS""","=""""",
O,1,"=""""","=""167073.2""","=""""","=""3.92e+01""",C+,"=""12.7590265""","=""12.7664475""","=""2s2.2p3.(4S*).4d""","=""3D*""","=""1""","=""2s2.2p3.(4S*).4f""","=""3F""","=""2""",,"=""T5713LS""","=""""",
O,2,"=""""","=""499500""","=""""","=""1.30e-07""",B+,"=""3.324085""","=""3.326567""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2D*""","=""3/2""",M1,"=""T247""","=""L11267""",
O,2,"=""""","=""499500.5""","=""""","=""1.49e-20""",E,"=""3.324085""","=""3.326567""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p3""","=""2D*""","=""3/2""",E2,"=""T5047,T4644""","=""""",
O,2,"=""""","=""5025000""","=""""","=""4.24e-24""",E,"=""5.017394""","=""5.017641""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",E2,"=""T5047,T4644""","=""""",
O,2,"=""""","=""5030000""","=""""","=""1.41e-10""",B,"=""5.017394""","=""5.017641""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",M1,"=""T247""","=""L11267""",
