element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
B,1,"=""""","=""19322""","=""6""","=""""","=""8.61e+02""",C,"=""8.019266""","=""8.083434""","=""2s2.7f""","=""2F*""","=""5/2""","=""2s2.8d""","=""2D""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""19322""","=""6""","=""""","=""1.81e+04""",C,"=""8.019266""","=""8.083434""","=""2s2.7f""","=""2F*""","=""5/2""","=""2s2.8d""","=""2D""","=""3/2""",,"=""u27""","=""""",
B,2,"=""""","=""27399""","=""23""","=""""","=""1.2e+04""",D,"=""22.93189""","=""22.977146""","=""1s2.2s.5f""","=""1F*""","=""3""","=""1s2.2s.5d""","=""1D""","=""2""",,"=""u27""","=""""",
B,2,"=""""","=""449200""","=""1000""","=""""","=""8.88e-16""",B,"=""4.629017""","=""4.631777""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.2p""","=""3P*""","=""2""",E2,"=""T7194""","=""""",
B,2,"=""""","=""457000""","=""1000""","=""""","=""6.62e-16""",B,"=""12.263448""","=""12.266161""","=""1s2.2p2""","=""3P""","=""0""","=""1s2.2p2""","=""3P""","=""2""",E2,"=""T7405""","=""""",
B,2,"=""""","=""619000""","=""3000""","=""""","=""4.02e-16""",B,"=""4.629775""","=""4.631777""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.2p""","=""3P*""","=""2""",E2,"=""T7194""","=""""",
B,2,"=""""","=""619200""","=""2700""","=""""","=""5.68e-08""",A,"=""4.629775""","=""4.631777""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.2p""","=""3P*""","=""2""",M1,"=""T7194""","=""""",
B,1,"=""""","=""654150""","=""130""","=""""","=""6.24e-16""",B,"=""0.00000000""","=""0.0018953""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.2p""","=""2P*""","=""3/2""",E2,"=""T7194""","=""""",
B,1,"=""""","=""654150""","=""130""","=""""","=""3.20e-08""",A,"=""0.00000000""","=""0.0018953""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.2p""","=""2P*""","=""3/2""",M1,"=""T7194""","=""""",
B,2,"=""""","=""747000""","=""4000""","=""""","=""3.25e-08""",A,"=""12.264501""","=""12.266161""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p2""","=""3P""","=""2""",M1,"=""T7417""","=""""",
B,2,"=""""","=""747000""","=""4000""","=""""","=""1.25e-16""",B,"=""12.264501""","=""12.266161""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2p2""","=""3P""","=""2""",E2,"=""T7405""","=""""",
B,1,"=""""","=""912000""","=""17000""","=""""","=""7.78e-17""",B,"=""3.55183+x""","=""3.55319+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p2""","=""4P""","=""5/2""",E2,"=""T7194""","=""""",
B,2,"=""""","=""1178000""","=""11000""","=""""","=""1.11e-08""",A,"=""12.263448""","=""12.264501""","=""1s2.2p2""","=""3P""","=""0""","=""1s2.2p2""","=""3P""","=""1""",M1,"=""T7417""","=""""",
B,1,"=""""","=""1580000""","=""30000""","=""""","=""4.10e-09""",A,"=""3.55240+x""","=""3.55319+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p2""","=""4P""","=""5/2""",M1,"=""T7194""","=""""",
B,1,"=""""","=""1580000""","=""30000""","=""""","=""7.00e-18""",B,"=""3.55240+x""","=""3.55319+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p2""","=""4P""","=""5/2""",E2,"=""T7194""","=""""",
B,2,"=""""","=""1637000""","=""21000""","=""""","=""4.10e-09""",A,"=""4.629017""","=""4.629775""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.2p""","=""3P*""","=""1""",M1,"=""T7194""","=""""",
B,1,"=""""","=""2160000""","=""100000""","=""""","=""2.23e-09""",A,"=""3.55183+x""","=""3.55240+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p2""","=""4P""","=""3/2""",M1,"=""T7194""","=""""",
B,1,"=""""","=""2160000""","=""100000""","=""""","=""1.74e-19""",B,"=""3.55183+x""","=""3.55240+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p2""","=""4P""","=""3/2""",E2,"=""T7194""","=""""",
