element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
B,2,"=""200.5868""","=""0.0010""","=""200.5868""","=""0.0010""","=""200""","=""2.21e+08""",B,"=""18.678180""","=""24.85725""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2p.3d""","=""3D*""","=""3""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""200.5868""","=""0.0012""","=""""","=""2.8e+07""",C,"=""18.678180""","=""24.85725""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3d""","=""3D*""","=""3""",,"=""u27,LS""","=""""",
B,2,"=""200.6080""","=""0.0010""","=""200.6085""","=""0.0010""","=""100""","=""1.74e+08""",B,"=""18.678180""","=""24.85659""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3d""","=""3D*""","=""2""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""200.6085""","=""0.0012""","=""""","=""3.8e+07""",C,"=""18.678180""","=""24.85659""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3d""","=""3D*""","=""2""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""200.6085""","=""0.0012""","=""""","=""3.89e+07""",C,"=""18.678180""","=""24.85659""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2p.3d""","=""3D*""","=""2""",,"=""u27,LS""","=""""",
B,2,"=""200.6229""","=""0.0010""","=""200.6238""","=""0.0010""","=""50""","=""1.87e+08""",B,"=""18.678180""","=""24.85612""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3d""","=""3D*""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""200.6238""","=""0.0012""","=""""","=""6.22e+07""",B,"=""18.678180""","=""24.85612""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3d""","=""3D*""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""201.815""","=""0.005""","=""201.815""","=""0.005""","=""120*""","=""""",,"=""21.268988""","=""27.41046""","=""1s2.2s.4p""","=""3P*""","=""0""","=""1s2.2p.4p""","=""3P""","=""0,1,2""",,"=""""","=""L12120""",
B,2,"=""201.815""","=""0.005""","=""201.815""","=""0.005""","=""120*""","=""""",,"=""21.268988""","=""27.41046""","=""1s2.2s.4p""","=""3P*""","=""1""","=""1s2.2p.4p""","=""3P""","=""0,1,2""",,"=""""","=""L12120""",
B,2,"=""201.815""","=""0.005""","=""201.815""","=""0.005""","=""120*""","=""""",,"=""21.268988""","=""27.41046""","=""1s2.2s.4p""","=""3P*""","=""2""","=""1s2.2p.4p""","=""3P""","=""0,1,2""",,"=""""","=""L12120""",
B,2,"=""""","=""""","=""203.036""","=""0.004""","=""""","=""1.22e+07""",C,"=""17.852479""","=""23.95703""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2p.3p""","=""3S""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""203.038""","=""0.004""","=""""","=""3.66e+07""",C,"=""17.852554""","=""23.95703""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.3p""","=""3S""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""203.053""","=""0.004""","=""""","=""6.09e+07""",B,"=""17.852994""","=""23.95703""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.3p""","=""3S""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""203.984""","=""0.005""","=""203.9842""","=""0.0009""","=""40""","=""1.91e+07""",C,"=""17.062984""","=""23.139161""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2p.3s""","=""1P*""","=""1""",,"=""u27""","=""L12120""",
B,2,"=""204.150""","=""0.005""","=""204.150""","=""0.005""","=""20*""","=""""",,"=""21.582342""","=""27.65357""","=""1s2.2s.4d""","=""3D""","=""1""","=""1s2.2p.4d""","=""3D*""","=""1,2,3""",,"=""""","=""L12120""",
B,2,"=""204.150""","=""0.005""","=""204.150""","=""0.005""","=""20*""","=""""",,"=""21.582342""","=""27.65357""","=""1s2.2s.4d""","=""3D""","=""2""","=""1s2.2p.4d""","=""3D*""","=""1,2,3""",,"=""""","=""L12120""",
B,2,"=""204.150""","=""0.005""","=""204.150""","=""0.005""","=""20*""","=""""",,"=""21.582342""","=""27.65357""","=""1s2.2s.4d""","=""3D""","=""3""","=""1s2.2p.4d""","=""3D*""","=""1,2,3""",,"=""""","=""L12120""",
B,2,"=""204.299""","=""0.005""","=""204.299""","=""0.005""","=""17?""","=""""",,"=""21.765055""","=""27.83187?""","=""1s2.2s.4d""","=""1D""","=""2""","=""1s2.2p.4d""","=""1F*""","=""3""",,"=""""","=""L12120""",
B,1,"=""206.6377""","=""0.0005""","=""206.6379""","=""0.0005""","=""30""","=""6.9e+07""",D,"=""3.55240+x""","=""9.55056+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",,"=""u27""","=""L1461""",
B,1,"=""206.6654""","=""0.0007""","=""206.6650""","=""0.0006""","=""40""","=""1.6e+08""",D,"=""3.55319+x""","=""9.55056+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""5/2""",,"=""u27""","=""L1461""",
B,1,"=""""","=""""","=""206.6728""","=""0.0011""","=""m""","=""9.2e+07""",D,"=""3.55183+x""","=""9.54897+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",,"=""u27""","=""L1461""",
B,1,"=""206.6930""","=""0.0010""","=""206.6926""","=""0.0008""","=""11""","=""3.0e+07""",D,"=""3.55240+x""","=""9.54897+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",,"=""u27""","=""L1461""",
B,1,"=""206.7020""","=""0.0020""","=""206.7003""","=""0.0013""","=""6""","=""3.8e+07""",D,"=""3.55183+x""","=""9.54817+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",,"=""u27""","=""L776""",
B,1,"=""206.7193""","=""0.0008""","=""206.7197""","=""0.0008""","=""30*""","=""1.0e+08""",D,"=""3.55319+x""","=""9.54897+x""","=""2s.2p2""","=""4P""","=""5/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""3/2""",,"=""u27""","=""L1461""",
B,1,"=""206.7193""","=""0.0008""","=""206.7202""","=""0.0011""","=""30*""","=""1.8e+08""",D,"=""3.55240+x""","=""9.54817+x""","=""2s.2p2""","=""4P""","=""3/2""","=""2s.2p.(3P*).3s""","=""4P*""","=""1/2""",,"=""u27""","=""L1461""",
B,1,"=""208.888851""","=""0.000022""","=""208.888860""","=""0.000018""","=""90""","=""3.61e+07""",B+,"=""0.00000000""","=""5.9335273""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2D""","=""3/2""",,"=""T7194""","=""L11406""",
B,2,"=""208.924""","=""0.010""","=""208.924""","=""0.010""","=""40*""","=""""",,"=""21.582342""","=""27.5149""","=""1s2.2s.4d""","=""3D""","=""1""","=""1s2.2p.4d""","=""3F*""","=""2,3,4""",,"=""""","=""L12120""",
B,2,"=""208.924""","=""0.010""","=""208.924""","=""0.010""","=""40*""","=""""",,"=""21.582342""","=""27.5149""","=""1s2.2s.4d""","=""3D""","=""2""","=""1s2.2p.4d""","=""3F*""","=""2,3,4""",,"=""""","=""L12120""",
B,2,"=""208.924""","=""0.010""","=""208.924""","=""0.010""","=""40*""","=""""",,"=""21.582342""","=""27.5149""","=""1s2.2s.4d""","=""3D""","=""3""","=""1s2.2p.4d""","=""3F*""","=""2,3,4""",,"=""""","=""L12120""",
B,1,"=""""","=""""","=""208.955615""","=""0.000020""","=""""","=""7.16e+06""",B+,"=""0.0018953""","=""5.9335273""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2D""","=""3/2""",,"=""T7194""","=""L11406""",
B,1,"=""208.957004""","=""0.000022""","=""208.956995""","=""0.000020""","=""150""","=""4.33e+07""",B+,"=""0.0018953""","=""5.9334881""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2D""","=""5/2""",,"=""T7194""","=""L11406""",
B,2,"=""212.3857""","=""0.0010""","=""212.3856""","=""0.0010""","=""320*""","=""1.58e+08""",B,"=""17.852994""","=""23.68884""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.3p""","=""3D""","=""3""",,"=""u27,LS""","=""L12120""",
B,2,"=""212.3857""","=""0.0010""","=""212.3868""","=""0.0010""","=""320*""","=""""",,"=""18.678180""","=""24.51399""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2p.3d""","=""3F*""","=""4""",,"=""""","=""L12120""",
B,2,"=""212.4546""","=""0.0010""","=""212.4545""","=""0.0010""","=""250*""","=""1.19e+08""",B,"=""17.852554""","=""23.68651""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.3p""","=""3D""","=""2""",,"=""u27,LS""","=""L12120""",
B,2,"=""212.4546""","=""0.0010""","=""212.4546""","=""0.0010""","=""250*""","=""""",,"=""18.678180""","=""24.51213""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2p.3d""","=""3F*""","=""3""",,"=""""","=""L12120""",
B,2,"=""""","=""""","=""212.4705""","=""0.0014""","=""""","=""4.0e+07""",C,"=""17.852994""","=""23.68651""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.3p""","=""3D""","=""2""",,"=""u27,LS""","=""""",
B,2,"=""212.4961""","=""0.0010""","=""212.4952""","=""0.0010""","=""150*""","=""""",,"=""18.678180""","=""24.51102""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2p.3d""","=""3F*""","=""2""",,"=""""","=""L12120""",
B,2,"=""212.4961""","=""0.0010""","=""212.4960""","=""0.0010""","=""150*""","=""8.79e+07""",B,"=""17.852479""","=""23.68530""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2p.3p""","=""3D""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""212.4987""","=""0.0014""","=""""","=""6.59e+07""",B,"=""17.852554""","=""23.68530""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2p.3p""","=""3D""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""212.5148""","=""0.0014""","=""""","=""4.4e+06""",C,"=""17.852994""","=""23.68530""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2p.3p""","=""3D""","=""1""",,"=""u27,LS""","=""""",
B,1,"=""""","=""""","=""213.4271""","=""0.0024""","=""""","=""4.2e+05""",D+,"=""6.0271033""","=""11.83448""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""213.4352""","=""0.0024""","=""""","=""2.1e+06""",D+,"=""6.0273243""","=""11.83448""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""213.4458""","=""0.0024""","=""""","=""1.7e+06""",D+,"=""6.0271033""","=""11.83397""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""213.4539""","=""0.0024""","=""""","=""8.3e+05""",D+,"=""6.0273243""","=""11.83397""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""u27""","=""""",
B,2,"=""216.087""","=""0.005""","=""216.081""","=""0.005""","=""40*""","=""""",,"=""17.852479""","=""23.58854""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.6d""","=""3D""","=""1,2,3""",,"=""""","=""L12120""",
B,2,"=""216.087""","=""0.005""","=""216.084""","=""0.005""","=""40*""","=""""",,"=""17.852554""","=""23.58854""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.6d""","=""3D""","=""1,2,3""",,"=""""","=""L12120""",
B,2,"=""216.087""","=""0.005""","=""216.100""","=""0.005""","=""40*""","=""""",,"=""17.852994""","=""23.58854""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""1,2,3""",,"=""""","=""L12120""",
B,2,"=""""","=""""","=""221.211""","=""0.003""","=""""","=""3.2e+01""",C,"=""12.263448""","=""17.866488""","=""1s2.2p2""","=""3P""","=""0""","=""1s2.2s.3p""","=""1P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.253""","=""0.003""","=""""","=""5.8e+00""",D,"=""12.264501""","=""17.866488""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2s.3p""","=""1P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.318""","=""0.003""","=""""","=""8.59e+02""",C,"=""12.266161""","=""17.866488""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2s.3p""","=""1P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.7628""","=""0.0020""","=""""","=""1.81e+04""",C,"=""12.263448""","=""17.852554""","=""1s2.2p2""","=""3P""","=""0""","=""1s2.2s.3p""","=""3P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.7871""","=""0.0020""","=""""","=""1.37e+04""",C,"=""12.264501""","=""17.852994""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2s.3p""","=""3P*""","=""2""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.8046""","=""0.0020""","=""""","=""1.35e+04""",C,"=""12.264501""","=""17.852554""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2s.3p""","=""3P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.8076""","=""0.0020""","=""""","=""5.40e+04""",C,"=""12.264501""","=""17.852479""","=""1s2.2p2""","=""3P""","=""1""","=""1s2.2s.3p""","=""3P*""","=""0""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.8531""","=""0.0020""","=""""","=""4.12e+04""",C,"=""12.266161""","=""17.852994""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2s.3p""","=""3P*""","=""2""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""221.8705""","=""0.0020""","=""""","=""2.27e+04""",C,"=""12.266161""","=""17.852554""","=""1s2.2p2""","=""3P""","=""2""","=""1s2.2s.3p""","=""3P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""222.0298""","=""0.0010""","=""222.0295""","=""0.0010""","=""220""","=""3.49e+08""",B,"=""17.866488""","=""23.448881""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2p.3p""","=""1P""","=""1""",,"=""u27""","=""L12120""",
B,2,"=""226.288""","=""0.005""","=""226.2734""","=""0.0020""","=""8*""","=""""",,"=""17.852479""","=""23.33018""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.6s""","=""3S""","=""1""",,"=""""","=""L12120""",
B,2,"=""226.288""","=""0.005""","=""226.2765""","=""0.0015""","=""8*""","=""""",,"=""17.852554""","=""23.33018""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.6s""","=""3S""","=""1""",,"=""""","=""L12120""",
B,2,"=""226.288""","=""0.005""","=""226.2947""","=""0.0015""","=""8*""","=""""",,"=""17.852994""","=""23.33018""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.6s""","=""3S""","=""1""",,"=""""","=""L12120""",
B,2,"=""226.468""","=""0.005""","=""226.464""","=""0.005""","=""23""","=""3.4e+07""",C,"=""17.062984""","=""22.53607""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",,"=""u27""","=""L12120""",
B,2,"=""232.3031""","=""0.0010""","=""232.3030""","=""0.0010""","=""245""","=""9.11e+07""",B,"=""19.178635""","=""24.514173""","=""1s2.2s.3d""","=""1D""","=""2""","=""1s2.2p.3d""","=""1D*""","=""2""",,"=""u27""","=""L12120""",
B,2,"=""232.8668""","=""0.0010""","=""232.8651""","=""0.0010""","=""130""","=""5.66e+07""",B,"=""15.827970""","=""21.150629""","=""1s2.2p2""","=""1S""","=""0""","=""1s2.2s.4p""","=""1P*""","=""1""",,"=""u27""","=""L12120""",
B,1,"=""238.86""","=""0.03""","=""238.8662""","=""0.0022""","=""30*""","=""5.9e+06""",D,"=""5.9334881""","=""11.12244""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""u27""","=""L6232""",
B,1,"=""238.86""","=""0.03""","=""238.8869""","=""0.0022""","=""30*""","=""5.6e+06""",D,"=""5.9335273""","=""11.12203""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""u27""","=""L6232""",
B,1,"=""""","=""""","=""238.8680""","=""0.0022""","=""""","=""4.2e+05""",D,"=""5.9335273""","=""11.12244""","=""2s.2p2""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""238.8851""","=""0.0022""","=""""","=""6.3e+05""",D,"=""5.9334881""","=""11.12203""","=""2s.2p2""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""u27""","=""""",
B,2,"=""239.3204""","=""0.0010""","=""239.3212""","=""0.0010""","=""100*""","=""1.11e+07""",C,"=""16.089904""","=""21.268988""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""2""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""239.3212""","=""0.0010""","=""""","=""1.11e+07""",C,"=""16.089904""","=""21.268988""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""239.3212""","=""0.0013""","=""""","=""1.1e+07""",C,"=""16.089904""","=""21.268988""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""0""",,"=""u27,LS""","=""""",
B,2,"=""239.5048""","=""0.0010""","=""239.5044""","=""0.0010""","=""520""","=""7.56e+07""",B,"=""12.691366""","=""17.866488""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.3p""","=""1P*""","=""1""",,"=""T7096""","=""L12120""",
B,2,"=""""","=""""","=""240.131""","=""0.003""","=""""","=""8.8e-02""",D,"=""12.691366""","=""17.852994""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.3p""","=""3P*""","=""2""",,"=""T7096""","=""""",
B,2,"=""""","=""""","=""240.151""","=""0.003""","=""""","=""3.32e+04""",B,"=""12.691366""","=""17.852554""","=""1s2.2p2""","=""1D""","=""2""","=""1s2.2s.3p""","=""3P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""242.5271""","=""0.0010""","=""242.5256""","=""0.0010""","=""60""","=""3.77e+07""",C,"=""17.866488""","=""22.977146""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.5d""","=""1D""","=""2""",,"=""u27""","=""L12120""",
B,2,"=""245.9690""","=""0.0010""","=""245.9657""","=""0.0010""","=""480*""","=""4.0e+07""",C,"=""17.852479""","=""22.89166""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.5d""","=""3D""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""245.9690""","=""0.0010""","=""245.9694""","=""0.0010""","=""480*""","=""5.39e+07""",B,"=""17.852554""","=""22.89166""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""2""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""245.9694""","=""0.0018""","=""""","=""3.0e+07""",C,"=""17.852554""","=""22.89166""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.5d""","=""3D""","=""1""",,"=""u27,LS""","=""""",
B,2,"=""245.9895""","=""0.0010""","=""245.9909""","=""0.0010""","=""480""","=""7.19e+07""",B,"=""17.852994""","=""22.89166""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""3""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""245.9909""","=""0.0013""","=""""","=""1.8e+07""",C,"=""17.852994""","=""22.89166""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""2""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""245.9909""","=""0.0018""","=""""","=""1.99e+06""",C,"=""17.852994""","=""22.89166""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5d""","=""3D""","=""1""",,"=""u27,LS""","=""""",
B,1,"=""249.67687""","=""0.00003""","=""249.676894""","=""0.000015""","=""110""","=""8.40e+07""",A,"=""0.00000000""","=""4.9642890""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.3s""","=""2S""","=""1/2""",,"=""T7194""","=""L11406""",
B,1,"=""249.77224""","=""0.00003""","=""249.772263""","=""0.000017""","=""210""","=""1.68e+08""",A,"=""0.0018953""","=""4.9642890""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.3s""","=""2S""","=""1/2""",,"=""T7194""","=""L11406""",
B,2,"=""251.9257""","=""0.0010""","=""251.9263""","=""0.0010""","=""53*""","=""1.5e+07""",C,"=""18.678180""","=""23.598146""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6f""","=""3F*""","=""2""",,"=""u27,LS""","=""L12120""",
B,2,"=""251.9257""","=""0.0010""","=""251.9263""","=""0.0010""","=""53*""","=""1.6e+07""",C,"=""18.678180""","=""23.598146""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6f""","=""3F*""","=""3""",,"=""u27,LS""","=""L12120""",
B,2,"=""251.9257""","=""0.0010""","=""251.9263""","=""0.0010""","=""53*""","=""1.83e+07""",C,"=""18.678180""","=""23.598146""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6f""","=""3F*""","=""4""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""251.9263""","=""0.0015""","=""""","=""2.8e+06""",D,"=""18.678180""","=""23.598146""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6f""","=""3F*""","=""2""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""251.9263""","=""0.0012""","=""""","=""2.0e+06""",D,"=""18.678180""","=""23.598146""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6f""","=""3F*""","=""3""",,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""251.9263""","=""0.0015""","=""""","=""8.1e+04""",D,"=""18.678180""","=""23.598146""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6f""","=""3F*""","=""2""",,"=""u27,LS""","=""""",
B,1,"=""""","=""""","=""261.339""","=""0.003""","=""""","=""5.7e+05""",D+,"=""6.0271033""","=""10.76987""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""261.351""","=""0.003""","=""""","=""2.8e+06""",D+,"=""6.0273243""","=""10.76987""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""261.375""","=""0.003""","=""""","=""2.3e+06""",D+,"=""6.0271033""","=""10.76922""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""261.388""","=""0.003""","=""""","=""1.1e+06""",D+,"=""6.0273243""","=""10.76922""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""265.419""","=""0.004""","=""""","=""8.10e+04""",C,"=""7.1646047""","=""11.83448""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""265.423""","=""0.004""","=""""","=""4.04e+05""",C,"=""7.1646833""","=""11.83448""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""265.448""","=""0.004""","=""""","=""3.2e+05""",C,"=""7.1646047""","=""11.83397""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""u27""","=""""",
B,1,"=""""","=""""","=""265.452""","=""0.004""","=""""","=""1.62e+05""",C,"=""7.1646833""","=""11.83397""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""u27""","=""""",
B,2,"=""266.9498""","=""0.0010""","=""266.9498""","=""0.0010""","=""28""","=""6.37e+07""",B,"=""17.866488""","=""22.509583""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.5s""","=""1S""","=""0""",,"=""u27""","=""L12120""",
B,2,"=""""","=""""","=""267.602""","=""0.004""","=""""","=""1.69e-03""",B,"=""0.000000""","=""4.631777""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.2p""","=""3P*""","=""2""",M2,"=""T7194""","=""""",
B,2,"=""""","=""""","=""267.718""","=""0.004""","=""""","=""1.04e+01""",B,"=""0.000000""","=""4.629775""","=""1s2.2s2""","=""1S""","=""0""","=""1s2.2s.2p""","=""3P*""","=""1""",,"=""T7096""","=""""",
B,2,"=""269.079""","=""0.01""","=""269.082""","=""0.004""","=""14""","=""""",,"=""22.53607""","=""27.14239""","=""1s2.2s.5p""","=""1P*""","=""1""","=""1s2.2p.4p""","=""1P""","=""1""",,"=""""","=""L12120""",
B,2,"=""270.8730""","=""0.0010""","=""270.8698""","=""0.0010""","=""87*""","=""8.01e+06""",C,"=""17.852479""","=""22.428384""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.5s""","=""3S""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""270.8730""","=""0.0010""","=""270.8742""","=""0.0010""","=""87*""","=""2.4e+07""",C,"=""17.852554""","=""22.428384""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.5s""","=""3S""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""270.8993""","=""0.0010""","=""270.9003""","=""0.0010""","=""87""","=""4.01e+07""",C,"=""17.852994""","=""22.428384""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.5s""","=""3S""","=""1""",,"=""u27,LS""","=""L12120""",
B,2,"=""""","=""""","=""277.226""","=""0.005""","=""""","=""9.57e-05""",B,"=""4.629017""","=""9.100007""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.2p""","=""1P*""","=""1""",M1,"=""T7194""","=""""",
B,2,"=""""","=""""","=""277.273""","=""0.005""","=""""","=""7.16e-05""",B,"=""4.629775""","=""9.100007""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.2p""","=""1P*""","=""1""",M1,"=""T7194""","=""""",
