element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""""","=""555.7383""","=""""","=""""","=""9.94e+05""",C,"=""11.7500916""","=""13.9804540""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
Ar,1,"=""555.8702""","=""""","=""555.87018""","=""""","=""25""","=""1.42e+06""",C,"=""12.90701530""","=""15.13684847""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
Ar,1,"=""""","=""""","=""555.9676""","=""""","=""""","=""2.2e+05""",D+,"=""13.28263902""","=""15.5120816""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
N,1,"=""""","=""""","=""556.0337""","=""""","=""""","=""1.42e+06""",C,"=""11.7638464""","=""13.9930238""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""9/2""",,"=""u18,LS""","=""""",
B,1,"=""556.3185""","=""0.0015""","=""556.3146""","=""0.0015""","=""a*""","=""""",,"=""5.9334881""","=""8.161540""","=""2s.2p2""","=""2D""","=""5/2""","=""2s2.10f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
B,1,"=""556.3185""","=""0.0015""","=""556.3244""","=""0.0015""","=""a*""","=""""",,"=""5.9335273""","=""8.161540""","=""2s.2p2""","=""2D""","=""3/2""","=""2s2.10f""","=""2F*""","=""5/2,7/2""",,"=""""","=""L694""",
N,1,"=""""","=""""","=""556.4265""","=""""","=""""","=""1.06e+06""",C,"=""11.7528949""","=""13.9804985""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""""","=""556.4265""","=""""","=""""","=""1.21e+06""",C,"=""11.7575319""","=""13.9851355""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""7/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""""","=""556.4377""","=""""","=""""","=""3.96e+05""",C,"=""11.7528949""","=""13.9804540""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
Ar,1,"=""557.2541""","=""""","=""557.25412""","=""""","=""10""","=""6.6e+05""",C,"=""13.09487256""","=""15.31916801""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""L2634""",
Ar,1,"=""""","=""""","=""557.4228""","=""""","=""""","=""4.6e+04""",D,"=""13.28263902""","=""15.5062613""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
N,1,"=""""","=""""","=""557.5872""","=""""","=""""","=""3.42e+05""",C,"=""11.7575319""","=""13.9804985""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""""","=""557.5984""","=""""","=""""","=""2.81e+04""",D+,"=""11.7575319""","=""13.9804540""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""3/2""",,"=""u18,LS""","=""""",
N,1,"=""""","=""""","=""558.0083""","=""""","=""""","=""2.00e+05""",C,"=""11.7638464""","=""13.9851355""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""7/2""",,"=""u18,LS""","=""""",
Ar,1,"=""""","=""""","=""558.18714""","=""""","=""""","=""5.6e+04""",D+,"=""13.07571571""","=""15.29629325""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
Ar,1,"=""""","=""""","=""558.87196""","=""""","=""""","=""1.5e+05""",D+,"=""13.09487256""","=""15.31272913""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
N,1,"=""""","=""""","=""559.1756""","=""""","=""""","=""1.35e+04""",D+,"=""11.7638464""","=""13.9804985""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p2.(3P).5d""","=""4F""","=""5/2""",,"=""u18,LS""","=""""",
Ar,1,"=""""","=""""","=""559.7476""","=""""","=""""","=""4.2e+05""",E,"=""13.30222747""","=""15.5166146""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
Ar,1,"=""560.6733""","=""""","=""560.67329""","=""""","=""35""","=""2.20e+06""",C,"=""12.90701530""","=""15.11774638""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""L2634""",
